t,q1,q2,q3,q4,q5,q6
2.243318,0.024955,0.021748,0.046007,-0.026913,-0.028147,-0.014102
2.253379,0.024139,0.020984,0.046075,-0.025812,-0.026136,-0.014484
2.263441,0.024490,0.021380,0.045747,-0.026237,-0.025674,-0.014873
2.273502,0.024868,0.021412,0.045786,-0.025902,-0.024473,-0.015268
2.283568,0.025657,0.022230,0.045813,-0.026720,-0.024065,-0.015672
2.293629,0.025708,0.021538,0.045442,-0.026392,-0.024062,-0.016082
2.303692,0.026167,0.021626,0.045437,-0.026829,-0.024847,-0.012684
2.313753,0.026275,0.021356,0.045037,-0.026128,-0.025281,-0.013109
2.323807,0.026790,0.021863,0.045001,-0.026188,-0.025739,-0.013541
2.333862,0.027714,0.022007,0.044949,-0.026248,-0.026605,-0.013980
2.343915,0.027907,0.022173,0.044501,-0.025932,-0.028265,-0.014427
2.353967,0.027744,0.022736,0.044798,-0.025994,-0.029568,-0.014881
2.364029,0.027609,0.023316,0.043933,-0.025291,-0.028228,-0.015343
2.374090,0.028652,0.023917,0.043815,-0.025737,-0.027302,-0.015813
2.384156,0.028576,0.023389,0.043297,-0.024652,-0.026019,-0.016290
2.394217,0.028530,0.023641,0.043142,-0.025089,-0.025909,-0.016775
2.404278,0.028132,0.023529,0.042968,-0.024380,-0.024301,-0.017268
2.414298,0.028912,0.023056,0.042778,-0.025199,-0.023871,-0.017770
2.424360,0.028957,0.022979,0.042567,-0.025248,-0.023085,-0.018280
2.434424,0.029794,0.023682,0.042718,-0.026054,-0.023092,-0.018797
2.444485,0.029903,0.023260,0.042087,-0.025717,-0.023895,-0.019323
2.454548,0.030803,0.023616,0.042199,-0.026133,-0.025868,-0.019857
2.464612,0.030589,0.023224,0.041909,-0.025780,-0.027490,-0.020399
2.474677,0.031550,0.023993,0.041598,-0.025803,-0.028761,-0.020949
2.484739,0.031021,0.023257,0.041267,-0.025823,-0.028921,-0.021509
2.494802,0.031665,0.023677,0.040915,-0.026214,-0.029872,-0.022077
2.504866,0.031196,0.023732,0.040540,-0.025453,-0.029327,-0.022653
2.514931,0.031903,0.023801,0.040144,-0.026208,-0.029957,-0.023238
2.524986,0.031117,0.023124,0.038964,-0.025048,-0.029855,-0.023831
2.535049,0.034223,0.026014,0.038824,-0.028044,-0.032420,-0.025045
2.545112,0.035060,0.026907,0.038339,-0.028380,-0.032412,-0.025665
2.555179,0.034403,0.026289,0.037831,-0.027941,-0.031291,-0.026294
2.565243,0.034923,0.026829,0.037680,-0.028255,-0.031727,-0.026931
2.575310,0.035480,0.026624,0.037126,-0.028178,-0.031436,-0.027579
2.585375,0.035685,0.026811,0.036928,-0.028467,-0.032318,-0.028235
2.595441,0.035159,0.026629,0.036707,-0.027598,-0.032086,-0.028899
2.605505,0.036192,0.026842,0.036842,-0.027859,-0.032649,-0.029573
2.615572,0.035350,0.026305,0.036954,-0.026961,-0.032861,-0.030256
2.625634,0.036449,0.026925,0.036659,-0.027574,-0.033105,-0.030947
2.635696,0.035677,0.025654,0.036721,-0.026650,-0.031479,-0.031650
2.645759,0.036461,0.025917,0.036758,-0.026851,-0.031024,-0.032360
2.655824,0.035750,0.025810,0.036770,-0.025891,-0.029456,-0.033079
2.665877,0.036597,0.025715,0.036756,-0.025676,-0.030207,-0.033808
2.675940,0.036714,0.025630,0.036717,-0.025062,-0.029846,-0.034545
2.686003,0.037245,0.025938,0.036653,-0.025192,-0.030660,-0.035292
2.696067,0.037045,0.025112,0.036562,-0.024541,-0.030741,-0.036048
2.706129,0.037645,0.025826,0.036445,-0.024638,-0.032004,-0.036814
2.716188,0.037510,0.025402,0.036303,-0.023567,-0.032148,-0.029578
2.726250,0.038550,0.025750,0.036134,-0.023619,-0.033084,-0.030361
2.736310,0.037713,0.025726,0.035939,-0.022506,-0.033670,-0.031153
2.746372,0.038434,0.026092,0.035717,-0.022517,-0.034666,-0.031954
2.756457,0.037659,0.025703,0.035469,-0.021360,-0.034166,-0.032765
2.766521,0.038822,0.026467,0.035194,-0.021708,-0.034076,-0.033584
2.776581,0.039633,0.027239,0.034893,-0.021651,-0.034779,-0.034412
2.786645,0.038948,0.026873,0.034565,-0.020808,-0.034365,-0.035249
2.796708,0.039819,0.027660,0.034210,-0.021085,-0.035505,-0.036094
2.806770,0.039573,0.026926,0.033828,-0.020194,-0.035910,-0.011390
2.816833,0.040506,0.027730,0.033419,-0.020044,-0.036730,-0.012254
2.826891,0.040312,0.027768,0.032984,-0.019481,-0.035657,-0.013124
2.836952,0.040918,0.027820,0.032521,-0.019662,-0.036147,-0.014005
2.847004,0.040401,0.027492,0.031650,-0.019051,-0.034751,-0.014894
2.857067,0.041436,0.028312,0.031515,-0.019557,-0.035668,-0.015790
2.867126,0.040971,0.027612,0.030973,-0.019274,-0.035464,-0.016694
2.877189,0.042055,0.028441,0.030403,-0.018963,-0.036048,-0.017606
2.887251,0.041639,0.028129,0.029425,-0.018243,-0.036654,-0.018526
2.897291,0.042771,0.028202,0.028802,-0.018258,-0.038045,-0.012587
2.907349,0.042018,0.028278,0.028152,-0.017482,-0.037933,-0.013522
2.917401,0.043195,0.028737,0.027475,-0.017440,-0.038222,-0.014465
2.927453,0.042485,0.028055,0.027154,-0.016987,-0.038150,-0.015414
2.937505,0.043702,0.028518,0.026425,-0.017268,-0.038478,-0.016370
2.947557,0.042649,0.027839,0.025669,-0.016756,-0.037680,-0.017334
2.957608,0.043523,0.028686,0.024888,-0.016596,-0.037281,-0.011055
2.967690,0.043269,0.028389,0.024080,-0.016025,-0.036136,-0.012031
2.977742,0.043794,0.028473,0.023247,-0.015804,-0.037294,-0.013013
2.987791,0.045097,0.028939,0.022388,-0.015934,-0.038086,-0.014001
2.997842,0.044507,0.028641,0.021504,-0.014889,-0.038128,-0.014995
3.007894,0.045830,0.028719,0.020596,-0.014954,-0.038557,-0.013703
3.017944,0.045271,0.028804,0.019660,-0.014612,-0.037483,-0.014708
3.027995,0.046236,0.028498,0.018702,-0.014997,-0.037934,-0.015715
3.038047,0.045308,0.028574,0.017718,-0.013826,-0.037636,-0.016728
3.048098,0.046679,0.029029,0.016709,-0.013768,-0.038872,-0.017746
3.058149,0.045768,0.028337,0.015677,-0.013297,-0.038971,-0.012664
3.068201,0.046769,0.028786,0.014621,-0.013939,-0.039074,-0.013689
3.078252,0.046250,0.028086,0.013541,-0.013404,-0.037656,-0.013573
3.088303,0.046496,0.028527,0.012437,-0.013219,-0.038148,-0.014604
3.098354,0.045981,0.028200,0.011311,-0.012239,-0.037497,-0.015638
3.108406,0.046611,0.027867,0.010162,-0.012372,-0.038372,-0.016674
3.118459,0.046095,0.027911,0.008991,-0.012472,-0.038101,-0.017712
3.128510,0.046715,0.027944,0.007800,-0.012158,-0.039346,-0.018750
3.138562,0.045810,0.027594,0.006586,-0.011432,-0.038686,-0.019790
3.148614,0.046808,0.028000,0.005350,-0.011056,-0.039547,-0.013583
3.158671,0.045511,0.027255,0.004093,-0.010649,-0.039256,-0.014625
3.168722,0.046876,0.027647,0.002816,-0.010973,-0.039721,-0.015667
3.178774,0.047467,0.028413,0.001518,-0.011266,-0.040557,-0.016708
3.188823,0.046522,0.027644,0.000583,-0.011909,-0.040618,-0.017749
3.198874,0.047082,0.028008,-0.000370,-0.012520,-0.041423,-0.018786
3.208925,0.046490,0.027221,-0.001725,-0.013102,-0.041457,-0.019822
3.218977,0.047027,0.027570,-0.003098,-0.013654,-0.041857,-0.020857
3.229028,0.046020,0.027529,-0.004108,-0.014175,-0.040715,-0.021890
3.239080,0.046902,0.027477,-0.005518,-0.014667,-0.040316,-0.022919
3.249131,0.045849,0.027030,-0.006941,-0.015128,-0.039891,-0.023943
3.259183,0.046306,0.027338,-0.008383,-0.015561,-0.040976,-0.024964
3.269235,0.045595,0.026491,-0.009079,-0.015966,-0.039750,-0.025982
3.279292,0.046004,0.027160,-0.010172,-0.016341,-0.040025,-0.026994
3.289349,0.045623,0.026290,-0.011662,-0.016689,-0.039129,-0.028001
3.299416,0.045970,0.026167,-0.012781,-0.017009,-0.040108,-0.029000
3.309479,0.044767,0.026036,-0.013536,-0.017302,-0.039536,-0.029994
3.319542,0.045441,0.025893,-0.014686,-0.017568,-0.039699,-0.030982
3.329606,0.044175,0.025355,-0.015086,-0.017808,-0.038685,-0.031963
3.339673,0.044777,0.025944,-0.016259,-0.018022,-0.038395,-0.032934
3.349737,0.043822,0.024998,-0.017065,-0.018211,-0.036169,-0.033898
3.359793,0.044357,0.025182,-0.017882,-0.018374,-0.035815,-0.034854
3.369890,0.042947,0.024208,-0.018711,-0.018514,-0.034661,-0.035801
3.379955,0.043399,0.024742,-0.019928,-0.018629,-0.034226,-0.036737
3.390020,0.043815,0.025264,-0.020776,-0.018722,-0.034520,-0.037664
3.400084,0.043045,0.024246,-0.021633,-0.018791,-0.033248,-0.038581
3.410145,0.042989,0.024353,-0.022878,-0.018838,-0.033836,-0.039485
3.420208,0.042131,0.024448,-0.023370,-0.018864,-0.032859,-0.040379
3.430327,0.042373,0.024146,-0.024252,-0.018869,-0.034129,-0.034396
3.440391,0.041418,0.023824,-0.024374,-0.018853,-0.034203,-0.035265
3.450455,0.041946,0.024252,-0.024888,-0.018817,-0.034618,-0.036123
3.460518,0.040518,0.023139,-0.025407,-0.018761,-0.033461,-0.036968
3.470580,0.040943,0.023531,-0.026310,-0.018687,-0.033776,-0.037799
3.480645,0.039415,0.023146,-0.026076,-0.018595,-0.032139,-0.038617
3.490705,0.039362,0.022744,-0.026609,-0.018484,-0.030836,-0.010048
3.500768,0.038107,0.022703,-0.026380,-0.018357,-0.029095,-0.010836
3.510833,0.038710,0.023029,-0.027301,-0.018214,-0.029978,-0.011611
3.520898,0.037735,0.022193,-0.027462,-0.018054,-0.029665,-0.012371
3.530960,0.037845,0.022479,-0.028003,-0.017879,-0.029677,-0.013115
3.541020,0.037523,0.021988,-0.027785,-0.017690,-0.027732,-0.013844
3.551075,0.037140,0.021856,-0.027946,-0.017486,-0.028400,-0.014556
3.561136,0.037088,0.021328,-0.028111,-0.017268,-0.028255,-0.011057
3.571200,0.036593,0.021540,-0.028653,-0.017038,-0.028815,-0.011737
3.581261,0.035664,0.020974,-0.028436,-0.016795,-0.027417,-0.012401
3.591302,0.035823,0.021152,-0.028598,-0.016540,-0.026727,-0.013049
3.601440,0.034775,0.020926,-0.028374,-0.016273,-0.026741,-0.013678
3.611504,0.035200,0.021446,-0.029295,-0.015996,-0.027466,-0.010096
3.621568,0.035181,0.021181,-0.029447,-0.015708,-0.028131,-0.010691
3.631629,0.033963,0.020899,-0.028836,-0.015410,-0.028744,-0.011270
3.641690,0.034210,0.020976,-0.028599,-0.015103,-0.030443,-0.011831
3.651752,0.033258,0.020273,-0.028742,-0.014787,-0.031707,-0.012375
3.661815,0.033388,0.020309,-0.029259,-0.014463,-0.032150,-0.012901
